Task Type,Feature Set,Num Features,Model,Accuracy,Train Time (s),Prediction Time (s),F1-Score (Binary),AUC-ROC (Binary),Specificity (Binary),F1-Score (Macro MC),AUC-ROC (Macro OvR MC)
multiclass,chi2_top_20_features,20,Random Forest,0.9691771896988793,6.729,0.107,,,,0.9424838190145257,0.994900764673025
multiclass,chi2_top_20_features,20,Naive Bayes,0.3524129924897534,0.164,0.068,,,,0.23184654583146788,0.8244222920281172
multiclass,chi2_top_20_features,20,ANN (MLP),0.8680613139377857,75.413,0.04,,,,0.8145858654103995,0.9862762714159914
multiclass,chi2_top_20_features,20,XGBoost,0.9709777535596674,9.485,0.073,,,,0.9413201437434295,0.998757203510271
multiclass,chi2_top_20_features,20,Gradient Boosting,0.9644625553791846,370.425,0.443,,,,0.9252028916472786,0.997928054260019
multiclass,mi_top_10_features,10,Logistic Regression,0.4457817053235092,162.72,0.006,,,,0.3353582874121247,0.8554074698780324
multiclass,mi_top_10_features,10,KNN,0.9642019474519652,0.714,5.77,,,,0.9307888896678851,0.9868890652791436
multiclass,mi_top_10_features,10,Decision Tree,0.965978819683006,0.954,0.007,,,,0.9370136734048209,0.9797634118060804
multiclass,mi_top_10_features,10,Random Forest,0.9678267668032884,6.036,0.095,,,,0.9391846950137539,0.9948747489907801
multiclass,mi_top_10_features,10,Naive Bayes,0.21793930204458764,0.084,0.032,,,,0.14805465844658233,0.6934183652885438
multiclass,mi_top_10_features,10,ANN (MLP),0.9176715866284442,486.775,0.032,,,,0.8756126801244515,0.9904793460038469
multiclass,mi_top_10_features,10,XGBoost,0.9690824231798906,7.135,0.067,,,,0.937823760906874,0.9986095548163906
multiclass,mi_top_10_features,10,Gradient Boosting,0.9610746523253335,290.869,0.425,,,,0.9196710981446786,0.9974390196284941
multiclass,mi_top_15_features,15,Logistic Regression,0.5752090786325191,275.201,0.006,,,,0.47178236296129494,0.9309970038136219
multiclass,mi_top_15_features,15,KNN,0.965647136866545,1.117,7.477,,,,0.9335083518927643,0.9823408300875911
multiclass,mi_top_15_features,15,Decision Tree,0.9670923262811248,1.041,0.008,,,,0.9370209777874896,0.9800227728237199
multiclass,mi_top_15_features,15,Random Forest,0.9687270487336824,5.552,0.106,,,,0.9412749285825879,0.9952920079474739
multiclass,mi_top_15_features,15,Naive Bayes,0.37859224336042074,0.118,0.045,,,,0.27583746471501835,0.8001284412415522
multiclass,mi_top_15_features,15,ANN (MLP),0.8506479660735862,34.389,0.034,,,,0.7920396176726276,0.9809504342339886
multiclass,mi_top_15_features,15,XGBoost,0.9701011632590206,7.036,0.065,,,,0.9397920666027343,0.99871500809446
multiclass,mi_top_15_features,15,Gradient Boosting,0.9615484849202777,317.783,0.417,,,,0.9198065867925415,0.9975589326460842
multiclass,mi_top_20_features,20,Logistic Regression,0.5886185410694401,356.82,0.007,,,,0.4850760044403827,0.9374389701705319
multiclass,mi_top_20_features,20,KNN,0.9662868108697197,0.045,8.363,,,,0.9365046565720953,0.9887632494062368
multiclass,mi_top_20_features,20,Decision Tree,0.9673766258380914,1.08,0.008,,,,0.9376080672840021,0.9795045272342552
multiclass,mi_top_20_features,20,Random Forest,0.9690350399203961,6.165,0.118,,,,0.9433962569233074,0.9948423499304374
multiclass,mi_top_20_features,20,Naive Bayes,0.37674429624013833,0.135,0.062,,,,0.27510772569646774,0.825705201322673
multiclass,mi_top_20_features,20,ANN (MLP),0.8575185387002772,39.699,0.036,,,,0.7975673362002588,0.9832364446896417
multiclass,mi_top_20_features,20,XGBoost,0.9709066786704258,7.661,0.065,,,,0.9431119998890566,0.9987376565714523
multiclass,mi_top_20_features,20,Gradient Boosting,0.9636807315975265,510.248,0.633,,,,0.9259804580363674,0.997769527094442
multiclass,all_features_post_pearson_corr,928,Logistic Regression,0.748679191641593,17923.131,0.722,,,,0.6929104481082737,0.970632997046924
multiclass,all_features_post_pearson_corr,928,KNN,0.9740576654268047,4.869,470.945,,,,0.9453969389910686,0.9903870171313741
multiclass,all_features_post_pearson_corr,928,Decision Tree,0.9757634627686038,14.564,0.187,,,,0.9453758775715796,0.982035651113967
multiclass,all_features_post_pearson_corr,928,Random Forest,0.9770901940344476,59.597,0.46,,,,0.9491314284816891,0.9953305580944649
multiclass,all_features_post_pearson_corr,928,Naive Bayes,0.46054159065602124,6.983,3.517,,,,0.35988326332937504,0.8341406193348767
multiclass,all_features_post_pearson_corr,928,ANN (MLP),0.9221256130209197,3079.33,2.246,,,,0.8841236403183748,0.9903054756118909
multiclass,all_features_post_pearson_corr,928,Gradient Boosting,0.9728257006799498,4712.142,1.958,,,,0.9372339908089925,0.9983878714701309
